EIN2,EIN,NTEE_IRS,NTEE_NCCS,NTEEV2,NCCS_LEVEL_1,NCCS_LEVEL_2,NCCS_LEVEL_3,F990_TOTAL_REVENUE_RECENT,F990_TOTAL_INCOME_RECENT,F990_TOTAL_ASSETS_RECENT,F990_ORG_ADDR_CITY,F990_ORG_ADDR_STATE,F990_ORG_ADDR_ZIP,F990_ORG_ADDR_STREET,CENSUS_CBSA_FIPS,CENSUS_CBSA_NAME,CENSUS_BLOCK_FIPS,CENSUS_URBAN_AREA,CENSUS_STATE_ABBR,CENSUS_COUNTY_NAME,ORG_ADDR_FULL,ORG_ADDR_MATCH,LATITUDE,LONGITUDE,GEOCODER_SCORE,GEOCODER_MATCH,BMF_SUBSECTION_CODE,BMF_STATUS_CODE,BMF_PF_FILING_REQ_CODE,BMF_ORGANIZATION_CODE,BMF_INCOME_CODE,BMF_GROUP_EXEMPT_NUM,BMF_FOUNDATION_CODE,BMF_FILING_REQ_CODE,BMF_DEDUCTIBILITY_CODE,BMF_CLASSIFICATION_CODE,BMF_ASSET_CODE,BMF_AFFILIATION_CODE,ORG_RULING_DATE,ORG_FISCAL_YEAR,ORG_RULING_YEAR,ORG_YEAR_FIRST,ORG_YEAR_LAST,ORG_YEAR_COUNT,ORG_PERS_ICO,ORG_NAME_SEC,ORG_NAME_CURRENT,ORG_FISCAL_PERIOD
EIN-01-0263908,10263908,A250,A25,ART-A25-RG,501C3 CHARITY,O,AR,9416151,14311291,37441974,NEW YORK,NY,10011-0000,136 WEST 22ND STREET,35620,"New York-Newark-Jersey City, NY-NJ-PA",360610087006000,U,NY,New York County,"136 WEST 22ND STREET,NEW YORK,NY,10011-0000","136 W 22nd St, New York, New York, 10011",40.742784,-73.994823,100,M,3,1,0,1,8,0,11,1,1,2000,8,3,1947-07,2024,1947,1989,2024,36,"","",SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC,7
EIN-01-0342897,10342897,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,0,0,0,FARMINGTON,ME,04938-0325,PO BOX 325,,"",230079712014012,R,ME,Franklin County,"PO BOX 325,FARMINGTON,ME,04938-0325","04938-0325, Farmington, Maine",44.665218,-70.1225595,98,M,3,1,0,1,0,0,15,2,1,1000,0,3,1977-01,2024,1977,1989,2024,36,% CAMILLA CAI,"",THE ARTS INSTITUTE OF WESTERN MAINE,1
EIN-01-0374089,10374089,A25,A25,ART-A25-RG,501CX NONPROFIT,O,AR,,0,0,ROCKLAND,ME,04841-2841,"",,"",230139706001004,U,ME,Knox County,"ROCKLAND,ME,04841-2841","04841-2841, Rockland, Maine",44.104023,-69.1105995,100,M,,,,,,,,,,,,,"",,,1989,1989,1,"","",ARTS IN SCHOOLS,6
EIN-01-0391208,10391208,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,141459,141459,295932,AUBURN,ME,04212-3753,PO BOX 3753,30340,"Lewiston-Auburn, ME",230010101001002,U,ME,Androscoggin County,"PO BOX 3753,AUBURN,ME,04212-3753","04212-3753, Auburn, Maine",44.098929,-70.2260685,98,M,3,1,0,1,4,0,15,1,1,1000,4,3,1984-03,2024,1984,1989,2024,36,"","",LA ARTS,3
EIN-01-0414558,10414558,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,,160601,88615,YARMOUTH,ME,4096,PO BOX 65,38860,"Portland-South Portland, ME",230050044013005,U,ME,Cumberland County,"PO BOX 65,YARMOUTH,ME,4096","04096, Yarmouth, Maine",43.79857,-70.190095,98,M,3,,,1,,0,15,10,,,,,1987-06,2011,1987,1989,2011,23,"","",VSA ARTS OF MAINE,6
EIN-01-0440050,10440050,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,,0,0,DEER IS,ME,4627,PO BOX 234,,"",230099666002046,R,ME,Hancock County,"PO BOX 234,DEER IS,ME,4627","04627, Deer Isle, Maine",44.1999459,-68.6608057,98,M,3,,,1,,0,16,20,,,,,1991-04,2017,1991,1989,2017,29,"",SEAMARK COMMUNITY ARTS,SEAMARK WORKSHOPS RT 15,4
EIN-01-0449348,10449348,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,978990,978998,3458801,TRESCOTT,ME,04652-0000,10 COMMISSARY POINT RD,,"",230299558002032,R,ME,Washington County,"10 COMMISSARY POINT RD,TRESCOTT,ME,04652-0000","10 Commissary Point Rd, Lubec, Maine, 04652",44.799183,-67.145832,100,M,3,1,0,1,5,0,15,1,1,1000,6,3,1990-03,2024,1990,1989,2024,36,"","",COBSCOOK COMMUNITY LEARNING CENTER,3
EIN-01-0453418,10453418,A25Z,A25Z,"",501C3 CHARITY,O,AR,240701,240701,43645,STANDISH,ME,04084-0140,PO BOX 140,38860,"Portland-South Portland, ME",230050170031002,R,ME,Cumberland County,"PO BOX 140,STANDISH,ME,04084-0140","04084-0140, Standish, Maine",43.766082,-70.5592485,98,M,3,1,0,1,4,0,15,1,1,2000,3,3,1994-04,2024,1994,1995,2024,30,"","",SCHOOLHOUSE ARTS CENTER AT SEBAGO LAKE,4
EIN-01-0512569,10512569,A25,A25,ART-A25-RG,501C3 PRIVATE FOUNDATION,S,AR,,835,1,BRUNSWICK,ME,04011-1016,PO BOX 1016,38860,"Portland-South Portland, ME",230050112033011,U,ME,Cumberland County,"PO BOX 1016,BRUNSWICK,ME,04011-1016","04011-1016, Brunswick, Maine",43.902648,-69.9633,98,M,3,1,1,1,1,0,4,0,1,2000,1,3,1999-10,2024,1999,1999,2024,26,"","",EYE FOUNDATION,10
EIN-01-0519111,10519111,A25,A25,ART-A25-RG,501C3 CHARITY,O,AR,,2192,513,PORTLAND,ME,4102,135 BRACKETT ST 3,38860,"Portland-South Portland, ME",230050011002002,U,ME,Cumberland County,"135 BRACKETT ST 3,PORTLAND,ME,4102","135 Brackett St, Portland, Maine, 04102",43.650432,-70.2657495,99.64,M,3,,,,,0,16,20,,,,,1999-11,2010,1999,2000,2010,11,"","",VERONICA INSTITUTE FOR LIFE STORY,11
